gene_id_Zm	OG	module_num	module_color	hub_score_kME	description (maizeGDB's maizemine)
Zm00001eb166400	OG0004812	7	black	0.90585229	Transcription factor bHLH84
Zm00001eb125590	OG0013330	7	black	0.64023418	Bowman-Birk type wound-induced proteinase inhibitor WIP1
Zm00001eb150260	OG0005643	7	black	0.89498936	Calmodulin-2
Zm00001eb301500	OG0015301	7	black	0.63895983	Xylanase inhibitor protein 1
Zm00001eb413850	OG0004193	7	black	0.60804818	Putative cinnamyl alcohol dehydrogenase 5
Zm00001eb150050	OG0019497	7	black	0.62794788	Pathogenesis-related protein-like
Zm00001eb419190	OG0001348	7	black	0.6167045	Glutathione S-transferase GSTU6
Zm00001eb067380	OG0009546	7	black	0.69765153	Flavanone 3-hydroxylase
Zm00001eb277280	OG0011334	7	black	0.54329696	Putative glutathione S-transferase GSTU1
Zm00001eb122360	OG0017127	7	black	0.73779757	Ribosomal protein L18ae family
Zm00001eb125400	OG0019617	7	black	0.63081975	Metal tolerance protein 10
Zm00001eb016180	OG0023096	7	black	0.75235815	Non-specific serine/threonine protein kinase
Zm00001eb024210	OG0016906	7	black	0.64267521	Methyltransferase
Zm00001eb256000	OG0014670	7	black	0.74753524	Flavonol synthase
Zm00001eb116230	OG0003458	7	black	0.54292393	Xylanase inhibitor
Zm00001eb153780	OG0010031	7	black	0.55475991	Oxidative stress 3
Zm00001eb068510	OG0020209	7	black	0.6962563	NA
Zm00001eb432150	OG0020209	7	black	0.6962563	NA
Zm00001eb316570	OG0004216	7	black	0.76807558	Tonoplast dicarboxylate transporter
Zm00001eb187560	OG0015220	7	black	0.69589514	FLZ-type domain-containing protein
Zm00001eb250980	OG0015220	7	black	0.69589514	FLZ-type domain-containing protein
Zm00001eb066210	OG0022937	7	black	0.49010068	Syntaxin-24
Zm00001eb017030	OG0004174	7	black	0.49447372	Isoflavone 2'-hydroxylase
Zm00001eb017110	OG0004174	7	black	0.49447372	Isoflavone 2'-hydroxylase
Zm00001eb117350	OG0012037	7	black	0.77329247	E3 ubiquitin-protein ligase RHF2A
Zm00001eb303010	OG0002208	7	black	0.76739472	Methyltransferase
Zm00001eb286290	OG0020173	7	black	0.7877965	SAGA-associated factor 11
Zm00001eb286490	OG0008321	7	black	0.58654019	WRKY53-superfamily of TFs having WRKY and zinc finger domains
Zm00001eb350280	OG0008321	7	black	0.58654019	WRKY53-superfamily of TFs having WRKY and zinc finger domains
Zm00001eb430950	OG0008321	7	black	0.58654019	Putative WRKY transcription factor 33
Zm00001eb305060	OG0003791	7	black	0.73944304	Aldehyde oxidase/xanthine dehydrogenase molybdopterin binding protein
Zm00001eb153730	OG0006186	7	black	0.70563282	Glutamate carboxypeptidase 2
Zm00001eb322210	OG0020992	7	black	0.68054733	Glycosyltransferase
Zm00001eb342270	OG0022081	7	black	0.44534543	Methylesterase 3
Zm00001eb313760	OG0017817	7	black	0.75471292	FLZ-type domain-containing protein
Zm00001eb055380	OG0017112	7	black	0.65419821	Cortical cell-delineating protein
Zm00001eb194060	OG0006352	7	black	0.50894115	Glycosyltransferase
Zm00001eb377450	OG0008496	7	black	0.32466003	NA
Zm00001eb267720	OG0015091	7	black	0.55985141	Phospholipid-transporting ATPase
Zm00001eb255840	OG0019391	7	black	0.65144421	Fucosyltransferase
Zm00001eb007870	OG0004748	7	black	0.59805501	NA
Zm00001eb168630	OG0004748	7	black	0.59805501	NA
Zm00001eb400840	OG0004748	7	black	0.59805501	NA
Zm00001eb065860	OG0002962	7	black	0.78994924	Partner of SLD five 1
Zm00001eb155550	OG0007715	7	black	0.72724136	Kelch repeat-containing F-box-like protein
Zm00001eb417320	OG0001597	7	black	0.81221011	Pto-interacting protein 1
Zm00001eb122530	OG0021781	7	black	0.6722531	NA
Zm00001eb372660	OG0009721	7	black	0.52036999	DRE binding factor
Zm00001eb319010	OG0009197	7	black	0.64132067	E3 ubiquitin ligase BIG BROTHER
Zm00001eb051940	OG0001233	7	black	0.77909259	NA
Zm00001eb383760	OG0001233	7	black	0.77909259	NA
Zm00001eb423120	OG0001233	7	black	0.77909259	NA
Zm00001eb087950	OG0006443	7	black	0.66984049	Vacuolar amino acid transporter 1
Zm00001eb032730	OG0006749	7	black	0.7213547	NA
Zm00001eb316870	OG0015328	7	black	0.63002966	Splicing factor U2af small subunit A
Zm00001eb242610	OG0021644	7	black	0.5776459	1
Zm00001eb157890	OG0003793	7	black	0.79708605	vacuolar protein sorting-associated protein 25
Zm00001eb400850	OG0023537	7	black	0.654374	Acyl carrier protein
Zm00001eb182090	OG0013957	7	black	0.65845497	immune-associated nucleotide-binding protein 9-like isoform X1
Zm00001eb243880	OG0013957	7	black	0.65845497	immune-associated nucleotide-binding protein 9
Zm00001eb058370	OG0015470	7	black	0.51930583	Zinc finger protein AZF2
Zm00001eb214230	OG0015470	7	black	0.51930583	Zinc finger protein AZF2
Zm00001eb330650	OG0008114	7	black	0.66816221	Alpha-galactosidase
Zm00001eb237050	OG0013948	7	black	0.45230362	Cinnamoyl CoA reductase-like 2a
Zm00001eb050460	OG0015054	7	black	0.70534476	Ornithine aminotransferase
Zm00001eb315920	OG0021533	7	black	0.57280072	O-fucosyltransferase family protein
Zm00001eb159150	OG0010069	7	black	0.412635	Urophorphyrin methylase 1
Zm00001eb358930	OG0010069	7	black	0.412635	Urophorphyrin methylase 1
Zm00001eb216030	OG0013860	7	black	0.63167478	Protein kinase domain-containing protein
Zm00001eb308830	OG0016565	7	black	0.55535243	Protein FLUORESCENT IN BLUE LIGHT
Zm00001eb285500	OG0018890	7	black	0.61057066	Thiamine pyrophosphokinase
Zm00001eb076340	OG0017407	7	black	0.71722027	Small glutamine-rich tetratricopeptide repeat-containing protein beta
Zm00001eb122240	OG0004609	7	black	0.44558162	Glycosyltransferase
Zm00001eb337060	OG0004609	7	black	0.44558162	Glycosyltransferase
Zm00001eb258950	OG0017561	7	black	0.67737856	Acetyl-CoA C-acyltransferase-like protein
Zm00001eb228330	OG0005916	7	black	0.4649446	Rhodanese domain-containing protein
Zm00001eb006940	OG0016106	7	black	0.37465849	NA
Zm00001eb189070	OG0004930	7	black	0.36916707	25S rRNA (Cytosine-C(5))-methyltransferase nop2
Zm00001eb253180	OG0004930	7	black	0.36916707	25S rRNA (Cytosine-C(5))-methyltransferase nop2
Zm00001eb044260	OG0018310	7	black	0.56626983	Calcium uniporter protein
Zm00001eb097390	OG0008836	7	black	0.55270695	GrpE protein homolog
Zm00001eb408520	OG0010365	7	black	0.40360006	WRKY45 transcription factor
Zm00001eb331550	OG0009265	7	black	0.58861486	PMR5 N-terminal domain-containing protein
Zm00001eb152790	OG0006068	7	black	0.39366946	Lupus la ribonucleoprotein
Zm00001eb143660	OG0006163	7	black	0.4717988	Protein arginine methyltransferase NDUFAF7
Zm00001eb068240	OG0020208	7	black	0.43242711	alpha-N-acetylglucosaminidase isoform X1
Zm00001eb177850	OG0007029	7	black	0.66931427	Nuclear nucleic acid-binding protein C1D
Zm00001eb353150	OG0007029	7	black	0.66931427	Nuclear nucleic acid-binding protein C1D
Zm00001eb061470	OG0021037	7	black	0.63780856	probable acyl-activating enzyme 18
Zm00001eb150290	OG0006825	7	black	0.69936234	L-2-hydroxyglutarate dehydrogenase
Zm00001eb341880	OG0006825	7	black	0.69936234	NA
Zm00001eb025900	OG0003549	7	black	0.67910074	Peptide transporter PTR2-like protein (Fragment)
Zm00001eb160050	OG0010823	7	black	0.54094543	IQ domain-containing protein IQM1
Zm00001eb152100	OG0013170	7	black	0.53464639	Polarized growth chromatin-associated controller 1
Zm00001eb048510	OG0009535	7	black	0.33555584	Glyceraldehyde-3-phosphate dehydrogenase-like family protein
Zm00001eb148190	OG0008734	7	black	0.74548637	HTH myb-type domain-containing protein
Zm00001eb182900	OG0020869	7	black	0.65315828	F-box/kelch-repeat protein At1g22040
Zm00001eb145960	OG0006171	7	black	0.68058293	Splicing factor 3B subunit 4
Zm00001eb196380	OG0001885	7	black	0.51069235	Calcium-transporting ATPase
Zm00001eb405190	OG0001885	7	black	0.51069235	Calcium-transporting ATPase
Zm00001eb159590	OG0006864	7	black	0.57586189	Nucleoporin SEH1
Zm00001eb283310	OG0007024	7	black	0.50496898	Phosphoenolpyruvate/phosphate translocator 1
Zm00001eb049940	OG0008972	7	black	0.66847129	DSBA domain-containing protein
Zm00001eb219300	OG0008972	7	black	0.66847129	DSBA domain-containing protein
Zm00001eb048310	OG0003810	7	black	0.52911134	Pectinesterase
Zm00001eb402370	OG0003810	7	black	0.52911134	Pectinesterase
Zm00001eb314180	OG0010089	7	black	0.42553101	Serine/threonine-protein kinase RIPK
Zm00001eb070400	OG0015508	7	black	0.487046	MULTIDRUG RESISTANCE-ASSOCIATED protein 2
Zm00001eb389820	OG0022445	7	black	0.43977178	Allantoate deiminase
Zm00001eb147850	OG0007683	7	black	0.49565625	Laccase
Zm00001eb049140	OG0006994	7	black	0.62870575	Peroxisomal membrane protein 2
Zm00001eb219680	OG0006994	7	black	0.62870575	Peroxisomal membrane protein 2
Zm00001eb284320	OG0021842	7	black	0.70744832	Glyoxalase I
Zm00001eb089600	OG0007571	7	black	0.51537071	Glycosyltransferases
Zm00001eb418920	OG0007571	7	black	0.51537071	Glycosyltransferases
Zm00001eb240120	OG0021106	7	black	0.38583682	NA
Zm00001eb315020	OG0016956	7	black	0.71979751	Zinc-binding alcohol dehydrogenase domain-containing protein 2
Zm00001eb035500	OG0008294	7	black	0.59284986	RanBP2-type zinc finger protein
Zm00001eb174550	OG0008294	7	black	0.59284986	RanBP2-type zinc finger protein
Zm00001eb001340	OG0014070	7	black	0.62828282	NA
Zm00001eb403920	OG0014070	7	black	0.62828282	3-hydroxy-3-methylglutaryl coenzyme A synthase
Zm00001eb293660	OG0012676	7	black	0.46036535	receptor-like protein kinase HSL1
Zm00001eb080050	OG0011026	7	black	0.59589433	Amino acid permease
Zm00001eb424670	OG0011026	7	black	0.59589433	Amino acid permease 2
Zm00001eb070720	OG0001687	7	black	0.3672881	Non-specific serine/threonine protein kinase
