gene_id_Zm	OG	module_num	module_color	sink_source	hub_ranking_kME	description (maizeGDB's maizemine)
Zm00001eb320280	OG0013710	10	purple	sink	0.86087158	protein CURVATURE THYLAKOID 1B
Zm00001eb099410	OG0010104	10	purple	sink	0.83370049	NADH dehydrogenase-like complex L
Zm00001eb312390	OG0010104	10	purple	sink	0.83370049	NAD(P)H-quinone oxidoreductase subunit L
Zm00001eb063160	OG0009280	10	purple	sink	0.83156814	
Zm00001eb258190	OG0014688	10	purple	sink	0.82217694	50S ribosomal protein L9
Zm00001eb075420	OG0011011	10	purple	sink	0.82145022	Elongation factor G
Zm00001eb427510	OG0011011	10	purple	sink	0.82145022	Elongation factor G
Zm00001eb424130	OG0004575	10	purple	sink	0.81713976	
Zm00001eb424170	OG0004575	10	purple	sink	0.81713976	
Zm00001eb056210	OG0012329	10	purple	sink	0.8019067	Photosystem I reaction center subunit N
Zm00001eb029540	OG0004805	10	purple	sink	0.77355287	
Zm00001eb136280	OG0004805	10	purple	sink	0.77355287	
Zm00001eb200610	OG0012639	10	purple	sink	0.7455369	Protein RNA-directed DNA methylation like
Zm00001eb149960	OG0013154	10	purple	sink	0.74462301	4-hydroxy-7-methoxy-3-oxo-3
Zm00001eb162400	OG0005926	10	purple	sink	0.74260365	Ascorbate transporter chloroplastic
Zm00001eb356550	OG0005926	10	purple	sink	0.74260365	Ascorbate transporter chloroplastic
Zm00001eb103370	OG0009200	10	purple	sink	0.74004284	B-box zinc finger protein 19
Zm00001eb319460	OG0009200	10	purple	sink	0.74004284	B-box zinc finger protein 19
Zm00001eb237580	OG0015559	10	purple	sink	0.73760136	DUF295 domain-containing protein (Fragment)
Zm00001eb231900	OG0018690	10	purple	sink	0.73751292	Mitochondrial import inner membrane translocase subunit tim-10 isoform 2
Zm00001eb059150	OG0013814	10	purple	sink	0.7360451	LCM domain-containing protein
Zm00001eb144880	OG0011511	10	purple	sink	0.73420486	Trigger factor
Zm00001eb261910	OG0010366	10	purple	sink	0.73239988	Chloroplast stem-loop binding protein of 41 kDa b
Zm00001eb090700	OG0019454	10	purple	sink	0.72960005	TLDc domain-containing protein
Zm00001eb121580	OG0001980	10	purple	sink	0.72616286	GDSL esterase/lipase
Zm00001eb315460	OG0013674	10	purple	sink	0.7249024	Pentatricopeptide repeat-containing protein
Zm00001eb204300	OG0015579	10	purple	sink	0.72205606	RHOMBOID-like protein 9 chloroplastic
Zm00001eb409090	OG0018409	10	purple	sink	0.71798515	Glycine cleavage system H protein
Zm00001eb393560	OG0011136	10	purple	sink	0.71413455	protein CONSERVED IN THE GREEN LINEAGE AND DIATOMS 27
Zm00001eb297120	OG0022880	10	purple	sink	0.71390005	probable solanesyl-diphosphate synthase 3
Zm00001eb138370	OG0018029	10	purple	sink	0.71197641	ZF-HD dimerization-type domain-containing protein
Zm00001eb271010	OG0019248	10	purple	sink	0.70451922	Epstein-Barr nuclear antigen 2
Zm00001eb133840	OG0018026	10	purple	sink	0.6971533	Outer envelope pore protein 37
Zm00001eb088500	OG0004113	10	purple	sink	0.69608454	Cysteine synthase
Zm00001eb375240	OG0012836	10	purple	sink	0.69550329	Alkyl transferase
Zm00001eb432580	OG0023910	10	purple	sink	0.69428367	Glutamine synthetase
Zm00001eb345250	OG0004483	10	purple	sink	0.69228557	DNA damage-binding protein 1a
Zm00001eb347150	OG0011200	10	purple	sink	0.69217626	Atherin
Zm00001eb122220	OG0010203	10	purple	sink	0.68622157	probable serine incorporator isoform X1
Zm00001eb287490	OG0017399	10	purple	sink	0.67654822	J domain-containing protein
Zm00001eb242730	OG0001955	10	purple	sink	0.67089739	Putative sodium/metabolite cotransporter BASS4 chloroplastic
Zm00001eb296300	OG0001955	10	purple	sink	0.67089739	probable sodium/metabolite cotransporter BASS4
Zm00001eb368430	OG0020178	10	purple	sink	0.66095236	Internal alternative NAD(P)H-ubiquinone oxidoreductase A1
Zm00001eb160550	OG0019529	10	purple	sink	0.65876525	Putative voltage-dependent anion-selective channel
Zm00001eb224490	OG0015689	10	purple	sink	0.65677534	NAD(P)H-quinone oxidoreductase subunit S
Zm00001eb332380	OG0014978	10	purple	sink	0.6417986	Protoporphyrinogen oxidase
Zm00001eb089390	OG0011377	10	purple	sink	0.64050138	Sulfate adenylyltransferase
Zm00001eb167910	OG0018054	10	purple	sink	0.63564401	Sucrose-phosphate synthase
Zm00001eb098640	OG0005675	10	purple	sink	0.63560942	FLZ-type domain-containing protein
Zm00001eb311150	OG0005675	10	purple	sink	0.63560942	FLZ-type domain-containing protein
Zm00001eb056950	OG0010678	10	purple	sink	0.62650401	Orotidine 5'-phosphate decarboxylase
Zm00001eb140490	OG0008688	10	purple	sink	0.62473719	SRP54 domain-containing protein
Zm00001eb023780	OG0012019	10	purple	sink	0.62311867	Transcription factor MYBS2
Zm00001eb121240	OG0012019	10	purple	sink	0.62311867	
Zm00001eb044840	OG0007869	10	purple	sink	0.62096948	Alpha-galactosidase
Zm00001eb042530	OG0015744	10	purple	sink	0.61181688	2-methylene-furan-3-one reductase
Zm00001eb141550	OG0004830	10	purple	sink	0.61174315	High chlorophyll fluorescence 153
Zm00001eb363190	OG0004830	10	purple	sink	0.61174315	High chlorophyll fluorescence 153
Zm00001eb017630	OG0012709	10	purple	sink	0.60755292	Transcription termination factor MTEF1
Zm00001eb309980	OG0021735	10	purple	sink	0.60381895	Glucose-6-phosphate 1-epimerase
Zm00001eb220590	OG0018309	10	purple	sink	0.60005252	probable plastid-lipid-associated protein 10
Zm00001eb054810	OG0012213	10	purple	sink	0.59785638	zinc finger protein CONSTANS-LIKE 16-like
Zm00001eb216410	OG0012213	10	purple	sink	0.59785638	Zinc finger protein CONSTANS-LIKE 16
Zm00001eb077350	OG0002201	10	purple	sink	0.59702387	Ammonium transporter
Zm00001eb247430	OG0002201	10	purple	sink	0.59702387	Ammonium transporter
Zm00001eb042220	OG0005952	10	purple	sink	0.59523624	FCS-Like Zinc finger 6-like
Zm00001eb178840	OG0005952	10	purple	sink	0.59523624	FLZ-type domain-containing protein
Zm00001eb063890	OG0011967	10	purple	sink	0.59279379	Start-like domain-containing protein
